Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Name,Type,Address,City,Contact,Claim_ID,Receiver_ID,Status,Timestamp,Name_Receiver,Type_Receiver,City_Receiver,Contact_Receiver
1,Bread,43,2025-03-17,110,Grocery Store,South Kellyville,Non-Vegetarian,Breakfast,Figueroa-Soto,Grocery Store,"113 Donna Pass
Port Michaelchester, NE 39187",South Kellyville,(599)442-0494,491.0,574.0,Completed,2025-03-08 07:16:00,Mr. William Hunt,Shelter,Barreratown,564.854.6978x7462
1,Bread,43,2025-03-17,110,Grocery Store,South Kellyville,Non-Vegetarian,Breakfast,Figueroa-Soto,Grocery Store,"113 Donna Pass
Port Michaelchester, NE 39187",South Kellyville,(599)442-0494,984.0,368.0,Completed,2025-03-19 06:19:00,Debra Murray,NGO,Duncanchester,566-832-5437
2,Soup,22,2025-03-24,791,Grocery Store,West James,Non-Vegetarian,Dinner,Aguilar Group,Grocery Store,"292 Torres Village
Johnland, IL 09607",West James,(390)257-0518x4479,,,,,,,,
3,Fruits,46,2025-03-28,478,Catering Service,Lake Regina,Vegan,Breakfast,"Lopez, Roach and Roach",Catering Service,"8319 Brandi Place Suite 155
Jamesbury, NC 87170",Lake Regina,001-785-448-3246x762,859.0,887.0,Cancelled,2025-03-13 06:36:00,Jean Woods,Shelter,Fernandezchester,+1-688-546-8304x8077
4,Fruits,15,2025-03-16,930,Restaurant,Kellytown,Vegan,Lunch,Cannon-Garcia,Restaurant,"18680 Krystal Inlet Apt. 200
East Janettown, MO 64497",Kellytown,9421508200,,,,,,,,
5,Soup,14,2025-03-19,279,Restaurant,Garciaport,Vegan,Dinner,"Greene, Wood and Hernandez",Restaurant,"69618 Jacob Stravenue
South Jacobton, OH 42099",Garciaport,238.551.4657,,,,,,,,
6,Vegetables,4,2025-03-24,378,Supermarket,South Johnshire,Vegan,Snacks,Foster Ltd,Supermarket,"5394 Laura Cliffs
East Angela, NH 01271",South Johnshire,7045041352,309.0,514.0,Cancelled,2025-03-14 02:19:00,Ashley Bell,Shelter,Olsonland,+1-733-905-4924x97502
7,Dairy,29,2025-03-25,268,Grocery Store,Nolanmouth,Vegan,Dinner,"White, Hutchinson and Williams",Grocery Store,"6135 Michael Extension Apt. 708
Brendaborough, MN 18905",Nolanmouth,655.056.4788x798,879.0,825.0,Pending,2025-03-01 01:49:00,Charles Morris,Charity,New Olivia,(006)107-4825x44414
8,Rice,49,2025-03-28,343,Catering Service,South Christopherborough,Vegetarian,Lunch,"Harris, Perez and Willis",Catering Service,"549 Moody Road Suite 873
Jacobshire, VT 80966",South Christopherborough,581-281-6112,,,,,,,,
9,Bread,46,2025-03-25,47,Supermarket,East Andrewland,Non-Vegetarian,Snacks,Wong-Reese,Supermarket,"9078 Jeffrey Drive Suite 439
Lake Jasonberg, RI 48655",East Andrewland,483-625-4097,143.0,936.0,Completed,2025-03-05 11:36:00,Jacob Horton,NGO,Port Douglasland,+1-286-744-5283x04031
